Time,Pressure,Concentration
(s),(psi),(mM)
0,7.589,15.73578118
5,7.656,15.73583979
10,7.694,15.73603234
15,7.71,15.73614955
20,7.708,15.73609932
25,7.706,15.73605746
30,7.707,15.73600723
35,7.704,15.73594862
40,7.703,15.73594025
45,7.7,15.73592351
50,7.695,15.73610769
55,7.696,15.73653466
60,7.692,15.73697838
65,7.689,15.73718768
70,7.687,15.73711233
75,7.683,15.73682768
80,7.68,15.73666024
85,7.677,15.73677745
90,7.674,15.73720442
95,7.67,15.73775698
100,7.666,15.73830116
105,7.665,15.73863604
110,7.662,15.73851883
115,7.659,15.73819232
120,7.658,15.73803325
125,32.549,15.74469736
130,59.583,18.15032459
135,59.681,23.75816646
140,59.742,31.16356046
145,59.777,37.39310706
150,59.8,40.61234198
155,59.814,41.1279316
160,59.828,41.34965565
165,59.84,41.54607114
170,59.852,41.7287147
175,59.862,41.90174719
180,59.872,42.06565421
185,59.882,42.22420314
190,59.891,42.37955398
195,59.897,42.53321366
200,59.906,42.68431152
205,59.913,42.83301498
210,59.922,42.97983475
215,59.93,43.12670474
220,59.94,43.27270405
225,59.947,43.41538805
230,59.958,43.5541372
235,59.969,43.6920073
240,59.979,43.83181133
245,59.986,43.97350743
250,59.995,44.11425749
255,60.002,44.25464756
260,60.011,44.39512972
265,60.019,44.53484166
270,60.028,44.67277036
275,60.035,44.80992046
280,60.043,44.94777381
285,60.052,45.08535089
290,60.059,45.22428423
295,60.066,45.3622799
300,60.075,45.49870164
305,60.082,45.63200063
310,60.091,45.76377591
315,60.096,45.89550933
320,60.105,46.0305162
325,60.112,46.1657826
330,60.119,46.30200342
335,60.125,46.4375461
340,60.132,46.57175763
345,60.136,46.70316454
350,60.143,46.83361704
355,60.15,46.96499884
360,60.156,47.09746062
365,60.163,47.2291187
370,60.169,47.3601405
375,60.175,47.48921162
380,60.181,47.61780554
385,60.188,47.7467762
390,60.195,47.8764836
395,60.198,48.00563844
400,60.183,48.13357934
405,60.188,48.2576189
410,60.187,48.3786529
415,60.185,48.49874087
420,60.184,48.62107253
425,60.182,48.7443
430,60.181,48.86782886
435,60.179,48.9900768
440,60.173,49.11076756
445,60.172,49.23109831
450,60.171,49.35192302
455,60.17,49.47229563
460,60.168,49.59239197
465,60.171,49.71233762
470,60.17,49.83235024
475,60.169,49.95296564
480,60.167,50.07266012
485,60.165,50.18989324
490,60.164,50.3058287
495,60.162,50.42229996
500,60.162,50.54063818
505,60.16,50.6596043
510,60.156,50.7775909
515,60.156,50.89414588
520,60.156,51.00964599
525,60.154,51.12354705
530,60.152,51.23835229
535,60.15,51.35362636
540,60.15,51.46928554
545,60.15,51.58576517
550,60.147,51.7023955
555,60.145,51.81883328
560,60.146,51.93485246
565,60.143,52.04912188
570,60.142,52.16190947
575,60.142,52.2742031
580,60.141,52.38891625
585,60.139,52.50525356
590,60.139,52.62006717
595,60.137,52.73211802
600,60.136,52.84112983
605,60.134,52.94918723
610,60.134,53.05910322
615,60.134,53.17018292
620,60.132,53.2831212
625,60.131,53.39749946
630,60.129,53.51108238
635,60.129,53.6216765
640,60.129,53.73014414
645,60.127,53.83872898
650,60.125,53.94894636
655,60.125,54.0615665
660,60.122,54.17534198
665,60.124,54.2857268
670,60.123,54.39212655
675,60.124,54.49796537
680,60.123,54.60705253
685,60.122,54.7189192
690,60.119,54.82953006
695,60.119,54.93694282
700,60.118,55.04301606
705,60.116,55.15083905
710,60.115,55.25959133
715,60.114,55.36674456
720,60.111,55.47306058
725,60.112,55.5796194
730,60.113,55.68715774
735,60.111,55.79516491
740,60.107,55.90269488
745,60.108,56.00843324
750,60.107,56.11305812
755,60.104,56.21872951
760,60.106,56.3257153
765,60.103,56.4325169
770,60.101,56.53814642
775,60.1,56.64180016
780,60.099,56.74583063
785,60.099,56.85080714
790,60.099,56.9554069
795,60.097,57.05980574
800,60.096,57.16378598
805,60.095,57.26875412
810,60.094,57.37405714
815,60.092,57.47796203
820,60.092,57.58138972
825,60.093,57.68457462
830,60.089,57.78739952
835,60.089,57.89080209
840,60.092,57.99380281
845,60.09,58.09677004
850,60.091,58.1996368
855,60.09,58.30185055
860,60.088,58.40680194
865,60.087,58.51619049
870,60.086,58.62511858
875,60.085,58.7281193
880,60.084,58.82437218
885,60.082,58.91754417
890,60.081,59.01362962
895,60.082,59.11295502
900,60.08,59.21359484
905,60.082,59.31538161
910,60.09,59.41756187
915,60.096,59.52029468
920,60.101,59.62433353
925,60.108,59.72885795
930,60.114,59.83227726
935,60.121,59.93465845
940,60.126,60.03715685
945,60.133,60.1417901
950,60.14,60.247428
955,60.145,60.35137475
960,60.15,60.45289362
965,60.157,60.55416134
970,60.163,60.65719554
975,60.168,60.76103346
980,60.174,60.86451975
985,60.178,60.96604699
990,60.185,61.06665332
995,60.188,61.16782894
1000,60.195,61.26946502
1005,60.201,61.37000436
1010,60.206,61.47060232
1015,60.21,61.57093236
1020,60.217,61.67166427
1025,60.22,61.77256361
1030,60.226,61.87351319
1035,60.234,61.97353347
1040,60.225,62.07275842
1045,60.208,62.16963083
1050,60.203,62.26461117
1055,60.198,62.35813478
1060,60.192,62.45154118
