Time,Pressure,Concentration
(s),(psi),(mM)
0,1.821,16.67331975
5,1.727,16.69358965
10,7.198,16.65366676
15,10.497,16.64943652
20,13.148,16.6482027
25,13.55,16.6790482
30,13.328,16.69085762
35,13.375,16.69262022
40,13.395,16.68900689
45,13.403,16.69385404
50,13.406,16.69905371
55,13.407,16.701962
60,13.406,16.69526412
65,13.404,16.69358965
70,13.402,16.69614542
75,13.401,16.70090444
80,13.4,16.69940623
85,13.399,16.69279648
90,13.397,16.69447095
95,13.396,16.70072818
100,13.396,16.70425338
105,13.394,16.69834867
110,13.392,16.69535225
115,13.391,16.70301956
120,13.39,16.7054872
125,13.391,16.70531094
130,13.387,16.69605729
135,13.387,16.6993181
140,13.386,16.7046059
145,13.385,16.70469403
150,13.385,16.69746737
155,13.383,16.69455908
160,13.384,16.70337208
165,13.382,16.70451777
170,13.382,16.70046379
175,13.38,16.69552851
180,22.823,16.70143322
185,59.152,16.65287359
190,59.8,16.70892427
195,59.822,16.7213506
200,59.833,16.72848913
205,59.85,16.74664391
210,59.859,16.76092097
215,59.867,16.77008649
220,59.875,16.77634372
225,59.856,16.790092
230,59.82,16.80780613
235,59.832,16.81864612
240,59.841,16.8244627
245,59.849,16.83195375
250,59.856,16.84949162
255,59.862,16.86702949
260,59.834,16.87628314
265,59.792,16.88007273
270,59.79,16.89249906
275,59.803,16.91038945
280,59.809,16.92308017
285,59.816,16.92731041
290,59.824,16.93189317
295,59.83,16.9478447
300,59.837,16.95974225
305,59.844,18.21859117
310,59.85,18.95121586
315,59.858,19.27950011
320,59.865,19.3158978
325,59.872,19.33008673
330,59.878,19.34110298
335,59.885,19.34982785
340,59.891,20.04772932
345,59.899,20.07108377
350,59.905,20.68173654
355,59.912,20.75726395
360,59.918,20.77189353
365,59.924,21.48266198
370,59.931,21.50495887
375,59.936,21.88902941
380,59.944,22.26666646
385,59.951,22.29151912
390,59.957,23.05939581
395,59.962,23.08856684
400,59.97,23.1002
405,59.976,23.8642871
410,59.983,23.89724772
415,59.988,23.91831079
420,59.996,24.68680439
425,60.002,24.70645738
430,60.008,24.83574409
435,60.014,25.5158433
440,60.021,25.53153044
445,60.025,25.98707441
450,60.033,26.32522922
455,60.039,26.35052253
460,60.045,26.70956415
465,60.051,27.15973219
470,60.057,27.16854519
475,60.064,NaN
480,60.068,27.98092753
485,60.074,28.00516328
490,60.079,28.00516328
495,60.085,28.23253868
500,60.091,28.80414986
505,60.097,28.83296837
510,60.103,28.872715
515,60.108,NaN
520,60.114,NaN
525,60.121,NaN
530,60.046,NaN
535,59.898,NaN
540,59.849,NaN
545,59.85,NaN
550,59.863,NaN
555,59.87,NaN
560,59.878,NaN
565,59.885,NaN
570,59.891,NaN
575,59.899,NaN
580,59.905,NaN
585,59.912,NaN
590,59.919,NaN
595,59.901,NaN
600,59.805,NaN
605,59.721,NaN
610,59.719,33.8009446
615,59.737,33.87788209
620,59.743,33.91216466
625,59.752,33.94063065
630,59.76,34.69317272
635,59.767,34.71159189
640,59.775,34.73477008
645,59.783,35.16942724
650,59.789,35.53023146
655,59.797,35.54230527
660,59.805,35.54098332
665,59.812,36.3205813
670,59.819,36.35415883
675,59.826,36.36861215
680,59.834,37.04342356
685,59.842,37.12767584
690,59.847,37.16539548
695,59.854,37.30543405
700,59.862,37.9130904
705,59.869,37.93089266
710,59.877,37.96253133
715,59.881,38.70678918
720,59.889,38.73155371
725,59.898,38.74292248
730,59.903,39.14047691
735,59.911,39.49317317
740,59.918,39.52578127
745,59.925,39.53864825
750,59.931,40.24527459
755,59.937,40.27885212
760,59.945,40.31877501
765,59.949,40.64450349
770,59.955,41.0311298
775,59.962,41.04919645
780,59.968,41.0928208
785,59.974,41.79601007
790,59.98,41.81971704
795,59.985,41.82756061
800,59.991,42.14015772
805,59.997,42.56961521
810,60.002,42.59605421
815,60.006,42.60469095
820,60.012,43.27042497
825,60.018,43.32682817
830,60.023,43.36683919
835,60.03,43.46801243
840,60.034,44.05434132
845,60.041,44.08377674
850,60.046,44.12854678
855,60.053,44.73734882
860,60.059,44.81261184
865,60.066,44.82433313
870,60.069,44.84707067
875,60.075,45.54761604
880,60.082,45.56242188
885,60.088,45.57828528
890,60.093,45.96579289
895,60.098,46.27935943
900,60.102,46.31408265
905,60.107,46.32553955
910,60.113,46.95716726
915,60.117,47.01929891
920,60.122,47.04891059
925,60.128,47.47308028
930,60.134,47.6928765
935,60.138,47.73385695
940,60.143,47.76531936
945,60.148,48.43378541
950,60.155,48.44400849
955,60.16,48.46859676
960,60.164,48.50737396
965,60.17,49.21726111
970,60.179,49.21329526
975,60.184,49.24017491
980,60.189,49.26441066
985,60.194,49.95376352
990,60.199,50.00672965
995,60.204,50.00214689
1000,60.208,50.02118297
1005,60.213,50.72305029
1010,60.22,50.77451821
1015,60.223,50.77733837
1020,60.228,50.79055787
1025,60.232,51.48713739
1030,60.238,51.54089669
1035,60.243,51.56372236
1040,60.248,51.57782316
1045,60.252,52.23500857
1050,60.256,52.31758638
1055,60.261,52.34684554
1060,60.266,52.35874309
1065,60.271,52.66860817
1070,60.275,53.0899577
1075,60.281,53.11718987
1080,60.285,53.15570268
1085,60.288,53.17262364
1090,60.291,53.8549261
1095,60.297,53.89907923
1100,60.3,53.92860278
1105,60.303,53.95151658
1110,60.309,54.5652539
1115,60.312,54.63628668
1120,60.317,54.6851107
1125,60.322,54.7238879
1130,60.325,54.85458469
1135,60.33,55.39737736
1140,60.334,55.42787034
1145,60.339,55.46444429
1150,60.342,55.49317467
1155,60.346,56.14339781
1160,60.351,56.16595909
1165,60.354,56.21487124
1170,60.358,56.2529434
1175,60.362,56.49591781
1180,60.366,56.91180328
1185,60.369,56.94009301
1190,60.375,56.98213102
1195,60.378,57.01509164
1200,60.382,57.63702505
1205,60.385,57.66064389
1210,60.39,57.70329881
1215,60.393,57.73837455
1220,60.397,58.12174005
1225,60.4,58.37670014
1230,60.405,58.42490725
1235,60.408,58.4517869
1240,60.412,58.50043466
1245,60.415,59.07900811
1250,60.419,59.11143995
1255,60.423,59.15894202
1260,60.427,59.18661484
1265,60.43,59.77981787
1270,60.434,59.81242597
1275,60.436,59.83965814
1280,60.441,59.87526266
1285,60.443,60.13524616
1290,60.446,60.49428778
1295,60.451,60.51640841
1300,60.453,60.57404543
1305,60.456,60.60912117
1310,60.46,61.1926299
1315,60.462,61.21721817
1320,60.467,61.23572547
1325,60.47,61.30693451
1330,60.471,61.51994472
1335,60.474,61.89247023
1340,60.479,61.91644159
1345,60.481,61.96165228
1350,60.484,61.98994201
1355,60.488,62.56049563
1360,60.49,62.57503708
1365,60.493,62.61354989
1370,60.497,62.6406058
1375,60.499,63.00211506
1380,60.502,63.2636849
1385,60.505,63.26024783
1390,60.507,63.30871933
1395,60.509,63.35384189
1400,60.512,63.91091162
1405,60.516,63.91981275
1410,60.518,63.95092264
1415,60.521,64.00353625
1420,60.523,64.54209868
1425,60.525,64.5688902
1430,60.53,64.56254484
1435,60.532,64.62150381
1440,60.535,64.85874977
1445,60.537,65.20598197
1450,60.539,65.20263303
1455,60.541,65.22528244
1460,60.544,65.28380076
1465,60.546,65.82165815
1470,60.549,65.82262758
1475,60.55,65.82527148
1480,60.554,65.8811459
1485,60.557,66.37837536
1490,60.558,66.45610602
1495,60.562,66.45028944
1500,60.564,66.47144064
1505,60.566,66.83259738
1510,60.569,67.03018484
1515,60.571,67.04631263
1520,60.572,67.04666515
1525,60.575,67.28144347
1530,60.577,67.59888773
1535,60.579,67.64004444
1540,60.582,67.64868118
1545,60.584,67.66172442
1550,60.586,68.17464102
1555,60.587,68.23474568
1560,60.59,68.26312354
1565,60.592,68.26171346
1570,60.595,68.73461904
1575,60.597,68.79049346
1580,60.598,68.83420594
1585,60.6,68.8555334
1590,60.603,69.13472924
1595,60.604,69.34403799
1600,60.605,69.40590525
1605,60.606,69.43569319
1610,60.609,69.46195593
1615,60.611,69.92225892
1620,60.612,69.96623579
1625,60.616,70.01594111
1630,60.616,70.02563541
1635,60.618,70.46320086
1640,60.62,70.53511494
1645,60.622,70.5599676
1650,60.623,70.61407942
1655,60.624,71.00802052
1660,60.626,71.07297233
1665,60.629,71.08125655
1670,60.628,71.15052673
1675,60.63,71.34044688
1680,60.631,71.61550061
1685,60.633,71.64114644
1690,60.635,71.69261436
